id,product_name,review_text,rating,channel,created_at
80,Laptop Pro 15,Keyboard is comfortable for long typing sessions.,4,qr,2024-04-03 09:30:15
81,Wireless Mouse,Connection drops occasionally.,2,email,2024-04-04 15:45:00
82,Monitor 4K,No dead pixels. Perfect screen.,5,sms,2024-04-05 10:18:30
83,External SSD,Fast reads and writes.,5,email,2024-04-06 12:00:45
84,USB Hub,Compact and efficient.,4,qr,2024-04-07 14:30:00
85,Mechanical Keyboard,Sound quality is pristine.,5,email,2024-04-08 16:45:15
86,Monitor 4K,Great investment for productivity.,5,sms,2024-04-09 11:22:30
87,Wireless Charger,Good but pricey.,3,email,2024-04-10 13:00:45
88,USB-C Cable,Reliable and durable product.,4,qr,2024-04-11 09:45:00
89,Laptop Pro 15,Worth every cent spent on it.,5,email,2024-04-12 15:18:30
90,External SSD,Best external drive available.,5,sms,2024-04-13 10:30:15
91,Wireless Mouse,Smooth and precise tracking.,4,email,2024-04-14 12:45:00
92,USB Hub,Essential accessory for my setup.,5,qr,2024-04-15 14:22:45
93,Monitor 4K,Superb display quality.,5,email,2024-04-16 16:00:30
94,Mechanical Keyboard,Every keystroke feels premium.,5,sms,2024-04-17 11:30:45
95,USB-C Cable,Outstanding build quality.,5,email,2024-04-18 13:45:15
96,Laptop Pro 15,Performance is unmatched.,5,qr,2024-04-19 09:18:00
97,Monitor 4K,Perfect for streaming and gaming.,5,email,2024-04-20 15:00:30
98,Wireless Charger,Convenient and practical.,4,sms,2024-04-21 10:22:15
99,External SSD,Speeds are incredible.,5,email,2024-04-22 12:30:45
100,USB Hub,Excellent value for money.,4,qr,2024-04-23 14:45:00
